id,key,value,type
36870960,layer,1,regular
36870960,bridge,yes,regular
36870960,oneway,-1,regular
36870960,highway,primary,regular
36870960,motorroad,no,regular
36870962,name,132 Ft. Ring Road,regular
36870962,oneway,yes,regular
36870962,highway,primary,regular
36870962,motorroad,no,regular
36877668,name,SV Desai Marg,regular
36877668,oneway,yes,regular
36877668,highway,tertiary,regular
36877668,maxspeed,40,regular
36877671,highway,unclassified,regular
36877674,name,Airport Road,regular
36877674,oneway,yes,regular
36877674,highway,secondary,regular
36897741,highway,tertiary,regular
36897743,highway,tertiary,regular
36897745,highway,unclassified,regular
36898190,name,Gheekanta Road,regular
36898190,oneway,yes,regular
36898190,highway,primary,regular
36906344,highway,unclassified,regular
36907357,highway,unclassified,regular
36907454,highway,tertiary,regular
36907455,highway,unclassified,regular
36907635,name,Purshottam Malvankar Marg,regular
36907635,lanes,2,regular
36907635,highway,tertiary,regular
36907635,surface,asphalt,regular
36907637,highway,unclassified,regular
36907638,highway,unclassified,regular
36922662,highway,residential,regular
36922662,name,Sunrise park street,regular
36926040,highway,unclassified,regular
36926042,highway,tertiary,regular
36926043,highway,tertiary,regular
36926044,highway,tertiary,regular
36926045,highway,unclassified,regular
36926049,highway,unclassified,regular
36926050,highway,unclassified,regular
36926051,highway,unclassified,regular
36926052,highway,unclassified,regular
36926054,highway,unclassified,regular
36926055,highway,unclassified,regular
36926057,highway,unclassified,regular
36926058,highway,unclassified,regular
36926059,highway,unclassified,regular
36926192,highway,unclassified,regular
36926193,highway,unclassified,regular
36926194,highway,tertiary,regular
36926197,highway,tertiary,regular
36926201,highway,tertiary,regular
36926202,highway,tertiary,regular
36926203,highway,tertiary,regular
36926204,highway,unclassified,regular
36926205,highway,unclassified,regular
36926207,highway,unclassified,regular
36926208,highway,unclassified,regular
36926209,highway,tertiary,regular
36926210,highway,unclassified,regular
36926211,highway,tertiary,regular
36927017,highway,tertiary,regular
36927019,highway,tertiary,regular
36927022,highway,tertiary,regular
36927025,highway,tertiary,regular
36927042,name,Ramdevnagar road,regular
36927042,highway,tertiary,regular
36927044,highway,tertiary,regular
36927045,highway,unclassified,regular
36927046,highway,unclassified,regular
36927047,highway,residential,regular
36927048,oneway,yes,regular
36927048,highway,secondary,regular
36927049,highway,tertiary,regular
36927050,highway,unclassified,regular
36927051,highway,residential,regular
36927052,highway,tertiary,regular
36927053,highway,residential,regular
36927054,highway,tertiary,regular
36927055,highway,tertiary,regular
36927056,highway,tertiary,regular
36927061,highway,unclassified,regular
36927063,highway,unclassified,regular
36927064,highway,unclassified,regular
36927065,highway,unclassified,regular
36927067,highway,unclassified,regular
36927068,highway,residential,regular
36927070,highway,unclassified,regular
36927198,highway,secondary,regular
36929317,highway,tertiary,regular
36929318,oneway,yes,regular
36929318,highway,tertiary,regular
36931848,oneway,no,regular
